804f92a | 804f94d | _GLOBAL__sub_I_llvm_diff.cpp | _GLOBAL__sub_I_llvm_diff.cpp | inline=NO
8129648 | 8129673 | _ZNK4llvm8CallBase16getCalledOperandEv | getCalledOperand | inline=NO
81322e8 | 8132342 | _ZNK4llvm8CallBase13getArgOperandEj | getArgOperand | inline=NO
81322aa | 81322e6 | _ZNK4llvm8CallBase8arg_sizeEv | arg_size | inline=NO
813228a | 81322a9 | _ZNK4llvm8CallBase7arg_endEv | arg_end | inline=NO
813224e | 8132288 | _ZN4llvm8CallBase7arg_endEv | arg_end | inline=NO
813222e | 813224d | _ZNK4llvm8CallBase9arg_beginEv | arg_begin | inline=NO
813220e | 813222d | _ZN4llvm8CallBase9arg_beginEv | arg_begin | inline=NO
81321cc | 813220d | _ZN4llvm8CallBase17data_operands_endEv | data_operands_end | inline=NO
8129632 | 8129646 | _ZNK4llvm8CallBase15getFunctionTypeEv | getFunctionType | inline=NO
813217b | 81321ca | _ZN4llvm8CallBase7classofEPKNS_5ValueE | classof | inline=NO
81227a4 | 81227fa | _ZN4llvm8CallBase7classofEPKNS_11InstructionE | classof | inline=NO
8132106 | 813217a | _ZNK4llvm8CallBase27getNumSubclassExtraOperandsEv | getNumSubclassExtraOperands | inline=NO
81320e8 | 8132105 | _ZNK4llvm8CallBase13hasDescriptorEv | hasDescriptor | inline=NO
81320c0 | 81320e6 | _ZN4llvm7CmpInstdlEPv | operator delete | inline=NO
8132098 | 81320bf | _ZN4llvm16UnaryInstructionD2Ev | ~UnaryInstruction | inline=NO
8132071 | 8132097 | _ZN4llvm14BinaryOperatordlEPv | operator delete | inline=NO
813204a | 8132070 | _ZN4llvm16UnaryInstructiondlEPv | operator delete | inline=NO
804fee8 | 804ff14 | _ZN4llvm15MallocAllocator10DeallocateEPKvjj | Deallocate | inline=NO
80563f8 | 8056420 | _ZN4llvm15MallocAllocator8AllocateEjj | Allocate | inline=NO
804fed4 | 804fee7 | _ZNK4llvm18StringMapEntryBase12getKeyLengthEv | getKeyLength | inline=NO
80563e0 | 80563f7 | _ZN4llvm18StringMapEntryBaseC2Ej | StringMapEntryBase | inline=NO
80fef7f | 80fefa3 | _ZN4llvm8Function7classofEPKNS_5ValueE | classof | inline=NO
8132026 | 8132049 | _ZN4llvm8Function19getValueSymbolTableEv | getValueSymbolTable | inline=NO
8131ffe | 8132025 | _ZNK4llvm8Function9hasNoSyncEv | hasNoSync | inline=NO
8131fb4 | 8131ffc | _ZNK4llvm8Function17doesNotFreeMemoryEv | doesNotFreeMemory | inline=NO
8131f6a | 8131fb2 | _ZNK4llvm8Function15onlyReadsMemoryEv | onlyReadsMemory | inline=NO
8131f42 | 8131f69 | _ZNK4llvm8Function19doesNotAccessMemoryEv | doesNotAccessMemory | inline=NO
812267e | 812269c | _ZNK4llvm8Function13getAttributesEv | getAttributes | inline=NO
8131f14 | 8131f41 | _ZNK4llvm8Function5hasGCEv | hasGC | inline=NO
80fef48 | 80fef65 | _ZNK4llvm8Function11isIntrinsicEv | isIntrinsic | inline=NO
812961c | 8129630 | _ZNK4llvm8Function14getIntrinsicIDEv | getIntrinsicID | inline=NO
8131ece | 8131f12 | _ZNK4llvm12GlobalObject8getAlignEv | getAlign | inline=NO
81295b2 | 812961a | _ZN4llvm11GlobalValue7classofEPKNS_5ValueE | classof | inline=NO
8131eb8 | 8131ecc | _ZNK4llvm11GlobalValue9getParentEv | getParent | inline=NO
80feef0 | 80fef04 | _ZN4llvm11GlobalValue9getParentEv | getParent | inline=NO
8131e70 | 8131eb7 | _ZNK4llvm11GlobalValue27isStrongDefinitionForLinkerEv | isStrongDefinitionForLinker | inline=NO
8131e30 | 8131e6e | _ZNK4llvm11GlobalValue22isDeclarationForLinkerEv | isDeclarationForLinker | inline=NO
8131e04 | 8131e2f | _ZNK4llvm11GlobalValue15isWeakForLinkerEv | isWeakForLinker | inline=NO
80feed4 | 80feeef | _ZNK4llvm11GlobalValue10getLinkageEv | getLinkage | inline=NO
8131dd8 | 8131e03 | _ZNK4llvm11GlobalValue22hasExternalWeakLinkageEv | hasExternalWeakLinkage | inline=NO
8131dac | 8131dd7 | _ZNK4llvm11GlobalValue29hasAvailableExternallyLinkageEv | hasAvailableExternallyLinkage | inline=NO
8131d6d | 8131dab | _ZN4llvm11GlobalValue15isWeakForLinkerENS0_12LinkageTypesE | isWeakForLinker | inline=NO
8131d57 | 8131d6c | _ZN4llvm11GlobalValue21isExternalWeakLinkageENS0_12LinkageTypesE | isExternalWeakLinkage | inline=NO
8131d41 | 8131d56 | _ZN4llvm11GlobalValue28isAvailableExternallyLinkageENS0_12LinkageTypesE | isAvailableExternallyLinkage | inline=NO
80fee24 | 80fee38 | _ZNK4llvm11GlobalValue12getValueTypeEv | getValueType | inline=NO
8131d28 | 8131d40 | _ZNK4llvm11GlobalValue26getGlobalValueSubClassDataEv | getGlobalValueSubClassData | inline=NO
80aef8e | 80aefa2 | _ZN4llvm8Argument9getParentEv | getParent | inline=NO
8131d12 | 8131d26 | _ZNK4llvm8Argument9getParentEv | getParent | inline=NO
81224d8 | 8122505 | _ZNK4llvm10BasicBlock3endEv | end | inline=NO
81224aa | 81224d7 | _ZNK4llvm10BasicBlock5beginEv | begin | inline=NO
80aef18 | 80aef2c | _ZN4llvm10BasicBlock9getParentEv | getParent | inline=NO
80fe808 | 80fe88a | _ZNK4llvm5Twine11toStringRefERNS_15SmallVectorImplIcEE | toStringRef | inline=NO
80fe702 | 80fe807 | _ZNK4llvm5Twine18getSingleStringRefEv | getSingleStringRef | inline=NO
80fe6a4 | 80fe701 | _ZNK4llvm5Twine17isSingleStringRefEv | isSingleStringRef | inline=NO
8131cf2 | 8131d11 | _ZNK4llvm5Twine16isTriviallyEmptyEv | isTriviallyEmpty | inline=NO
80fe584 | 80fe5fd | _ZN4llvm5TwineC2EPKc | Twine | inline=NO
80fe56e | 80fe583 | _ZNK4llvm5Twine10getRHSKindEv | getRHSKind | inline=NO
80fe558 | 80fe56d | _ZNK4llvm5Twine10getLHSKindEv | getLHSKind | inline=NO
80fe420 | 80fe556 | _ZNK4llvm5Twine7isValidEv | isValid | inline=NO
80fe3de | 80fe41f | _ZNK4llvm5Twine8isBinaryEv | isBinary | inline=NO
80fe356 | 80fe397 | _ZNK4llvm5Twine9isNullaryEv | isNullary | inline=NO
80fe330 | 80fe354 | _ZNK4llvm5Twine7isEmptyEv | isEmpty | inline=NO
80fe30a | 80fe32e | _ZNK4llvm5Twine6isNullEv | isNull | inline=NO
8131cd0 | 8131cf0 | _ZNK4llvm11Instruction24getSubclassDataFromValueEv | getSubclassDataFromValue | inline=NO
8131ca9 | 8131cce | _ZN4llvm11Instruction7classofEPKNS_5ValueE | classof | inline=NO
80aee68 | 80aeeae | _ZNK4llvm11Instruction11hasMetadataEv | hasMetadata | inline=NO
80aee44 | 80aee67 | _ZNK4llvm11Instruction9getOpcodeEv | getOpcode | inline=NO
80aee2e | 80aee42 | _ZN4llvm11Instruction9getParentEv | getParent | inline=NO
8131c94 | 8131ca8 | _ZNK4llvm11Instruction9getParentEv | getParent | inline=NO
80aede6 | 80aee0b | _ZNK4llvm8DebugLoccvbEv | operator bool | inline=NO
80aed06 | 80aed19 | _ZNK4llvm13TrackingMDRef3getEv | get | inline=NO
8061744 | 806179d | _ZNK4llvm6MDNode10getOperandEj | getOperand | inline=NO
80616ba | 80616d9 | _ZNK4llvm6MDNode8op_beginEv | op_begin | inline=NO
80616a8 | 80616b9 | _ZN4llvm6MDNode11mutable_endEv | mutable_end | inline=NO
8061678 | 80616a6 | _ZN4llvm6MDNode13mutable_beginEv | mutable_begin | inline=NO
80615b4 | 80615d3 | _ZN4llvm13simplify_typeIKNS_9MDOperandEE18getSimplifiedValueERS2_ | getSimplifiedValue | inline=NO
8061580 | 8061593 | _ZNK4llvm9MDOperand3getEv | get | inline=NO
80adbb8 | 80adbe4 | _ZNK4llvm18ConstantAsMetadata8getValueEv | getValue | inline=NO
80adaee | 80adb02 | _ZNK4llvm15ValueAsMetadata8getValueEv | getValue | inline=NO
80ad3c5 | 80ad3ea | _ZN4llvm8isa_implINS_18ConstantAsMetadataENS_8MetadataEvE4doitERKS2_ | doit | inline=NO
8061420 | 8061437 | _ZNK4llvm8Metadata13getMetadataIDEv | getMetadataID | inline=NO
80feac4 | 80feae3 | _ZNK4llvm15ilist_node_baseILb1EE15isKnownSentinelEv | isKnownSentinel | inline=NO
80fea9e | 80feac3 | _ZNK4llvm15ilist_node_baseILb1EE10isSentinelEv | isSentinel | inline=NO
80fea88 | 80fea9c | _ZNK4llvm15ilist_node_baseILb1EE7getNextEv | getNext | inline=NO
81225c6 | 81225eb | _ZN4llvm12ConstantExpr7classofEPKNS_5ValueE | classof | inline=NO
81225a2 | 81225c5 | _ZNK4llvm12ConstantExpr9getOpcodeEv | getOpcode | inline=NO
80aebff | 80aec24 | _ZN4llvm11ConstantInt7classofEPKNS_5ValueE | classof | inline=NO
80ffa22 | 80ffa57 | _ZNK4llvm11ConstantInt15getLimitedValueEy | getLimitedValue | inline=NO
8131c70 | 8131c93 | _ZNK4llvm11ConstantInt6isZeroEv | isZero | inline=NO
80aeb74 | 80aeb88 | _ZNK4llvm11ConstantInt8getValueEv | getValue | inline=NO
80fdfde | 80fe015 | _ZNK4llvm4Type22getPointerAddressSpaceEv | getPointerAddressSpace | inline=NO
80fdfbc | 80fdfdc | _ZNK4llvm11PointerType15getAddressSpaceEv | getAddressSpace | inline=NO
81190d0 | 8119116 | _ZNK4llvm10VectorType15getElementCountEv | getElementCount | inline=NO
81190a9 | 81190ce | _ZN4llvm18ScalableVectorType7classofEPKNS_4TypeE | classof | inline=NO
8118fef | 8119032 | _ZN4llvm10VectorType7classofEPKNS_4TypeE | classof | inline=NO
8118fda | 8118fee | _ZNK4llvm10VectorType14getElementTypeEv | getElementType | inline=NO
8118fb3 | 8118fd8 | _ZN4llvm9ArrayType7classofEPKNS_4TypeE | classof | inline=NO
8118f9e | 8118fb2 | _ZNK4llvm9ArrayType14getElementTypeEv | getElementType | inline=NO
8118f86 | 8118f9d | _ZNK4llvm9ArrayType14getNumElementsEv | getNumElements | inline=NO
8118f60 | 8118f85 | _ZN4llvm10StructType7classofEPKNS_4TypeE | classof | inline=NO
8131c44 | 8131c6f | _ZNK4llvm4Type18getIntegerBitWidthEv | getIntegerBitWidth | inline=NO
80aeb4d | 80aeb72 | _ZN4llvm11IntegerType7classofEPKNS_4TypeE | classof | inline=NO
8118cbc | 8118cdc | _ZNK4llvm11IntegerType11getBitWidthEv | getBitWidth | inline=NO
80fdf0e | 80fdf33 | _ZN4llvm8isa_implINS_11PointerTypeENS_4TypeEvE4doitERKS2_ | doit | inline=NO
8131c16 | 8131c42 | _ZN4llvmlsERNS_11raw_ostreamERKNS_4TypeE | operator<< | inline=NO
80fdebc | 80fdf0d | _ZNK4llvm4Type16getContainedTypeEj | getContainedType | inline=NO
80fde82 | 80fdeba | _ZNK4llvm4Type13getScalarTypeEv | getScalarType | inline=NO
8118858 | 811889b | _ZNK4llvm4Type16isFirstClassTypeEv | isFirstClassType | inline=NO
80fde3e | 80fde81 | _ZNK4llvm4Type10isVectorTyEv | isVectorTy | inline=NO
8131bea | 8131c15 | _ZNK4llvm4Type18isPtrOrPtrVectorTyEv | isPtrOrPtrVectorTy | inline=NO
8118832 | 8118857 | _ZNK4llvm4Type11isPointerTyEv | isPointerTy | inline=NO
8131bc4 | 8131be9 | _ZNK4llvm4Type10isStructTyEv | isStructTy | inline=NO
8118656 | 81186f7 | _ZNK4llvm4Type17isFloatingPointTyEv | isFloatingPointTy | inline=NO
8118630 | 8118655 | _ZNK4llvm4Type8isVoidTyEv | isVoidTy | inline=NO
80aeb34 | 80aeb4c | _ZNK4llvm4Type9getTypeIDEv | getTypeID | inline=NO
80aeb20 | 80aeb33 | _ZNK4llvm4Type10getContextEv | getContext | inline=NO
806124e | 8061265 | _ZNK4llvm4Type15getSubclassDataEv | getSubclassData | inline=NO
8131afb | 8131bc3 | _ZN4llvm7alignToENS_8TypeSizeEy | alignTo | inline=NO
8131ac3 | 8131afa | _ZN4llvmmlEyRKNS_8TypeSizeE | operator* | inline=NO
8131a97 | 8131ac2 | _ZN4llvmmlEiRKNS_8TypeSizeE | operator* | inline=NO
8131a6b | 8131a96 | _ZN4llvmmlERKNS_8TypeSizeEi | operator* | inline=NO
8131a4a | 8131a6a | _ZNK4llvm8TypeSize15getKnownMinSizeEv | getKnownMinSize | inline=NO
81185be | 81185de | _ZNK4llvm8TypeSize12getFixedSizeEv | getFixedSize | inline=NO
8118588 | 81185bd | _ZN4llvm8TypeSize5FixedEy | Fixed | inline=NO
8118536 | 8118587 | _ZN4llvm8TypeSizeC2Eyb | TypeSize | inline=NO
8118510 | 8118535 | _ZN4llvm8TypeSizeC2ERKNS_14LinearPolySizeIS0_EE | TypeSize | inline=NO
8061172 | 8061191 | _ZN4llvm12ElementCountC2ERKNS_14LinearPolySizeIS0_EE | ElementCount | inline=NO
809830e | 8098322 | _ZN4llvm18raw_string_ostream3strB5cxx11Ev | str | inline=NO
80982bc | 809830c | _ZN4llvm18raw_string_ostreamC2ERNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE | raw_string_ostream | inline=NO
804fd9c | 804fdd3 | _ZN4llvm11raw_ostreamlsEPKc | operator<< | inline=NO
804fcfc | 804fd9b | _ZN4llvm11raw_ostreamlsENS_9StringRefE | operator<< | inline=NO
809823e | 8098274 | _ZN4llvm11raw_ostream5flushEv | flush | inline=NO
8098206 | 809823c | _ZN4llvm11raw_ostream13SetUnbufferedEv | SetUnbuffered | inline=NO
809818a | 8098204 | _ZN4llvm11raw_ostreamC2EbNS0_11OStreamKindE | raw_ostream | inline=NO
80ae974 | 80ae9c2 | _ZNK4llvm5APInt7getWordEj | getWord | inline=NO
8118a7a | 8118b71 | _ZN4llvm5APInt15clearUnusedBitsEv | clearUnusedBits | inline=NO
80ae93a | 80ae973 | _ZN4llvm5APInt7maskBitEj | maskBit | inline=NO
80ae925 | 80ae939 | _ZN4llvm5APInt8whichBitEj | whichBit | inline=NO
80ae910 | 80ae924 | _ZN4llvm5APInt9whichWordEj | whichWord | inline=NO
8060cb0 | 8060cd2 | _ZNK4llvm5APInt12needsCleanupEv | needsCleanup | inline=NO
81319dc | 8131a49 | _ZNK4llvm5APInt18countTrailingZerosEv | countTrailingZeros | inline=NO
80ae8ce | 80ae90f | _ZNK4llvm5APInt14getNumSignBitsEv | getNumSignBits | inline=NO
80ae848 | 80ae8cc | _ZNK4llvm5APInt16countLeadingOnesEv | countLeadingOnes | inline=NO
80ae7e4 | 80ae847 | _ZNK4llvm5APInt17countLeadingZerosEv | countLeadingZeros | inline=NO
80ae6f0 | 80ae75f | _ZNK4llvm5APInt12getZExtValueEv | getZExtValue | inline=NO
81319bc | 81319db | _ZNK4llvm5APInt16getMinSignedBitsEv | getMinSignedBits | inline=NO
80ae6bc | 80ae6ee | _ZNK4llvm5APInt18getSignificantBitsEv | getSignificantBits | inline=NO
80ae68c | 80ae6bb | _ZNK4llvm5APInt13getActiveBitsEv | getActiveBits | inline=NO
8118a56 | 8118a79 | _ZN4llvm5APInt11getNumWordsEj | getNumWords | inline=NO
8118a32 | 8118a55 | _ZNK4llvm5APInt11getNumWordsEv | getNumWords | inline=NO
8060c9a | 8060cae | _ZNK4llvm5APInt11getBitWidthEv | getBitWidth | inline=NO
80fddd4 | 80fde3d | _ZNK4llvm5APInt3ugtEy | ugt | inline=NO
80ae5d0 | 80ae65e | _ZNK4llvm5APIntixEj | operator[] | inline=NO
8131926 | 81319bb | _ZN4llvm5APIntaSEOS0_ | operator= | inline=NO
8060b7c | 8060bfb | _ZN4llvm5APIntaSERKS0_ | operator= | inline=NO
80fdd88 | 80fddd3 | _ZNK4llvm5APInt15getLimitedValueEy | getLimitedValue | inline=NO
81318d2 | 8131924 | _ZNK4llvm5APInt6isZeroEv | isZero | inline=NO
80ae5a6 | 80ae5cf | _ZNK4llvm5APInt10isNegativeEv | isNegative | inline=NO
8060b60 | 8060b7a | _ZNK4llvm5APInt12isSingleWordEv | isSingleWord | inline=NO
8060b1c | 8060b5f | _ZN4llvm5APIntD2Ev | ~APInt | inline=NO
8060ac2 | 8060b1a | _ZN4llvm5APIntC2ERKS0_ | APInt | inline=NO
8118988 | 8118a02 | _ZN4llvm5APIntC2Ejyb | APInt | inline=NO
812958c | 81295b1 | _ZN4llvm8Constant7classofEPKNS_5ValueE | classof | inline=NO
81318ae | 81318d0 | _ZN4llvm13simplify_typeIPKNS_3UseEE18getSimplifiedValueERS3_ | getSimplifiedValue | inline=NO
80fec7c | 80fecc4 | _ZNK4llvm4User8operandsEv | operands | inline=NO
80609de | 8060a26 | _ZN4llvm4User8operandsEv | operands | inline=NO
80fec4a | 80fec7b | _ZNK4llvm4User6op_endEv | op_end | inline=NO
80609ac | 80609dd | _ZN4llvm4User6op_endEv | op_end | inline=NO
80fec2a | 80fec49 | _ZNK4llvm4User8op_beginEv | op_begin | inline=NO
806098c | 80609ab | _ZN4llvm4User8op_beginEv | op_begin | inline=NO
8129572 | 812958b | _ZNK4llvm4User14getNumOperandsEv | getNumOperands | inline=NO
8129442 | 81294ad | _ZNK4llvm4User10getOperandEj | getOperand | inline=NO
806096c | 806098b | _ZN4llvm4User14getOperandListEv | getOperandList | inline=NO
806092e | 806096b | _ZNK4llvm4User14getOperandListEv | getOperandList | inline=NO
8060908 | 806092d | _ZNK4llvm4User20getIntrusiveOperandsEv | getIntrusiveOperands | inline=NO
80608f2 | 8060906 | _ZNK4llvm4User18getHungOffOperandsEv | getHungOffOperands | inline=NO
8056334 | 8056347 | _ZNK4llvm14DebugEpochBase10HandleBase15getEpochAddressEv | getEpochAddress | inline=NO
80562e8 | 8056333 | _ZNK4llvm14DebugEpochBase10HandleBase14isHandleInSyncEv | isHandleInSync | inline=NO
80562be | 80562e6 | _ZN4llvm14DebugEpochBase10HandleBaseC2EPKS0_ | HandleBase | inline=NO
804fcda | 804fcfa | _ZN4llvm14DebugEpochBaseD2Ev | ~DebugEpochBase | inline=NO
804fcb4 | 804fcd9 | _ZN4llvm14DebugEpochBase14incrementEpochEv | incrementEpoch | inline=NO
80ad2f1 | 80ad344 | _ZN4llvm8isa_implINS_12GlobalObjectENS_5ValueEvE4doitERKS2_ | doit | inline=NO
80feb86 | 80febc7 | _ZN4llvm8isa_implINS_11GlobalValueENS_5ValueEvE4doitERKS2_ | doit | inline=NO
80ad2cb | 80ad2f0 | _ZN4llvm8isa_implINS_11GlobalIFuncENS_5ValueEvE4doitERKS2_ | doit | inline=NO
80feb60 | 80feb85 | _ZN4llvm8isa_implINS_11GlobalAliasENS_5ValueEvE4doitERKS2_ | doit | inline=NO
80ad2a5 | 80ad2ca | _ZN4llvm8isa_implINS_14GlobalVariableENS_5ValueEvE4doitERKS2_ | doit | inline=NO
80ad280 | 80ad2a4 | _ZN4llvm8isa_implINS_8FunctionENS_5ValueEvE4doitERKS2_ | doit | inline=NO
8131888 | 81318ad | _ZN4llvm8isa_implINS_10BasicBlockENS_5ValueEvE4doitERKS2_ | doit | inline=NO
80ad25a | 80ad27f | _ZN4llvm8isa_implINS_11InstructionENS_5ValueEvE4doitERKS2_ | doit | inline=NO
80ad234 | 80ad259 | _ZN4llvm8isa_implINS_8ArgumentENS_5ValueEvE4doitERKS2_ | doit | inline=NO
80ad20e | 80ad233 | _ZN4llvm8isa_implINS_8ConstantENS_5ValueEvE4doitERKS2_ | doit | inline=NO
80608a8 | 80608f0 | _ZN4llvm3Use3setEPNS_5ValueE | set | inline=NO
813185a | 8131887 | _ZN4llvmlsERNS_11raw_ostreamERKNS_5ValueE | operator<< | inline=NO
81223e8 | 81223fd | _ZNK4llvm5Value24getSubclassDataFromValueEv | getSubclassDataFromValue | inline=NO
80ad1f0 | 80ad20d | _ZNK4llvm5Value11hasMetadataEv | hasMetadata | inline=NO
813183c | 8131859 | _ZNK4llvm5Value16isUsedByMetadataEv | isUsedByMetadata | inline=NO
806088e | 80608a6 | _ZNK4llvm5Value10getValueIDEv | getValueID | inline=NO
8060866 | 806088d | _ZN4llvm5Value6addUseERNS_3UseE | addUse | inline=NO
8131804 | 813183b | _ZNK4llvm5Value9hasOneUseEv | hasOneUse | inline=NO
81317cc | 8131803 | _ZNK4llvm5Value5usersEv | users | inline=NO
8131794 | 81317cb | _ZN4llvm5Value5usersEv | users | inline=NO
813173e | 8131793 | _ZNK4llvm5Value18materialized_usersEv | materialized_users | inline=NO
81316e8 | 813173d | _ZN4llvm5Value18materialized_usersEv | materialized_users | inline=NO
81316ba | 81316e7 | _ZNK4llvm5Value8user_endEv | user_end | inline=NO
8131698 | 81316b9 | _ZN4llvm5Value18user_iterator_implIKNS_4UserEEC2Ev | user_iterator_impl | inline=NO
813166a | 8131697 | _ZN4llvm5Value8user_endEv | user_end | inline=NO
8131648 | 8131669 | _ZN4llvm5Value18user_iterator_implINS_4UserEEC2Ev | user_iterator_impl | inline=NO
8131610 | 8131647 | _ZNK4llvm5Value10user_beginEv | user_begin | inline=NO
81315e4 | 813160f | _ZNK4llvm5Value23materialized_user_beginEv | materialized_user_begin | inline=NO
81315b8 | 81315e3 | _ZN4llvm5Value23materialized_user_beginEv | materialized_user_begin | inline=NO
8131580 | 81315b7 | _ZNK4llvm5Value4usesEv | uses | inline=NO
8131548 | 813157f | _ZN4llvm5Value4usesEv | uses | inline=NO
81314f2 | 8131547 | _ZNK4llvm5Value17materialized_usesEv | materialized_uses | inline=NO
813149c | 81314f1 | _ZN4llvm5Value17materialized_usesEv | materialized_uses | inline=NO
8131476 | 813149a | _ZNK4llvm5Value7use_endEv | use_end | inline=NO
8131450 | 8131474 | _ZN4llvm5Value7use_endEv | use_end | inline=NO
8131418 | 813144f | _ZNK4llvm5Value9use_beginEv | use_begin | inline=NO
81313ec | 8131417 | _ZNK4llvm5Value22materialized_use_beginEv | materialized_use_begin | inline=NO
81313c0 | 81313eb | _ZN4llvm5Value22materialized_use_beginEv | materialized_use_begin | inline=NO
81313a6 | 81313bf | _ZNK4llvm5Value22materialized_use_emptyEv | materialized_use_empty | inline=NO
806083a | 8060864 | _ZNK4llvm5Value9use_emptyEv | use_empty | inline=NO
80feb1c | 80feb39 | _ZNK4llvm5Value7hasNameEv | hasName | inline=NO
80ad1dc | 80ad1ef | _ZNK4llvm5Value7getTypeEv | getType | inline=NO
813138a | 81313a5 | _ZN4llvmltENS_5AlignES0_ | operator< | inline=NO
8131331 | 8131389 | _ZN4llvm16decodeMaybeAlignEj | decodeMaybeAlign | inline=NO
80fdc1a | 80fdc3b | _ZN4llvm10MaybeAlignC2Ev | MaybeAlign | inline=NO
813130c | 8131330 | _ZN4llvm10MaybeAlignCI2NS_8OptionalINS_5AlignEEEEOS2_ | MaybeAlign | inline=NO
81312f6 | 813130b | _ZNK4llvm15optional_detail15OptionalStorageINS_5AlignELb1EE8hasValueEv | hasValue | inline=NO
81312d4 | 81312f4 | _ZNK4llvm8OptionalINS_5AlignEE8hasValueEv | hasValue | inline=NO
81312b4 | 81312d3 | _ZNK4llvm8OptionalINS_5AlignEEcvbEv | operator bool | inline=NO
813125c | 81312b2 | _ZNK4llvm10MaybeAlign10valueOrOneEv | valueOrOne | inline=NO
80fdbf8 | 80fdc19 | _ZN4llvm8OptionalINS_5AlignEEC2Ev | Optional | inline=NO
80fdbda | 80fdbf6 | _ZN4llvm15optional_detail15OptionalStorageINS_5AlignELb1EEC1Ev | OptionalStorage | inline=NO
8131246 | 813125b | _ZN4llvm5AlignC2Ev | Align | inline=NO
80acf88 | 80ad054 | _ZN4llvm5AlignC2Ey | Align | inline=NO
81311eb | 8131244 | _ZN4llvm10divideCeilEyy | divideCeil | inline=NO
80ace09 | 80acee2 | _ZN4llvm7alignToEyyy | alignTo | inline=NO
8056348 | 80563df | _ZN4llvm12NextPowerOf2Ey | NextPowerOf2 | inline=NO
80acdc9 | 80ace08 | _ZN4llvm7Log2_64Ey | Log2_64 | inline=NO
80acd54 | 80acdc8 | _ZN4llvm13isPowerOf2_64Ey | isPowerOf2_64 | inline=NO
80607f1 | 8060810 | _ZN4llvm13simplify_typeIKNS_3UseEE18getSimplifiedValueERS2_ | getSimplifiedValue | inline=NO
81311cb | 81311ea | _ZN4llvm13simplify_typeINS_3UseEE18getSimplifiedValueERS1_ | getSimplifiedValue | inline=NO
80607ba | 80607f0 | _ZN4llvm3Use14removeFromListEv | removeFromList | inline=NO
8060772 | 80607b9 | _ZN4llvm3Use9addToListEPPS0_ | addToList | inline=NO
81311b6 | 81311ca | _ZNK4llvm3Use7getNextEv | getNext | inline=NO
81311a0 | 81311b4 | _ZNK4llvm3Use7getUserEv | getUser | inline=NO
806075e | 8060771 | _ZNK4llvm3Use3getEv | get | inline=NO
80feb08 | 80feb1b | _ZNK4llvm3UsecvPNS_5ValueEEv | operator llvm::Value* | inline=NO
80605da | 8060600 | _ZN4llvmeqENS_9StringRefES0_ | operator== | inline=NO
804fc90 | 804fcb2 | _ZN4llvm9StringRefC2Ev | StringRef | inline=NO
8131172 | 813119f | _ZNK4llvm9StringRef13find_first_ofEcj | find_first_of | inline=NO
81310ea | 8131170 | _ZNK4llvm9StringRef4findEcj | find | inline=NO
80fdbb0 | 80fdbd8 | _ZNK4llvm9StringRefcvNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEEv | operator std::string | inline=NO
804fb68 | 804fbd6 | _ZNK4llvm9StringRef3strB5cxx11Ev | str | inline=NO
8060592 | 80605d9 | _ZNK4llvm9StringRef6equalsES0_ | equals | inline=NO
804fb52 | 804fb66 | _ZNK4llvm9StringRef4sizeEv | size | inline=NO
80980fa | 8098113 | _ZNK4llvm9StringRef5emptyEv | empty | inline=NO
804fb3e | 804fb51 | _ZNK4llvm9StringRef4dataEv | data | inline=NO
804fafe | 804fb3c | _ZN4llvm9StringRefC2ERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE | StringRef | inline=NO
804fadc | 804fafc | _ZN4llvm9StringRefC2EPKcj | StringRef | inline=NO
804faa0 | 804fadb | _ZN4llvm9StringRefC2EPKc | StringRef | inline=NO
804fa79 | 804fa9e | _ZN4llvm9StringRef6strLenEPKc | strLen | inline=NO
804fa3f | 804fa78 | _ZN4llvm9StringRef13compareMemoryEPKcS2_j | compareMemory | inline=NO
804f99e | 804f9d2 | _ZNSt14_Function_baseD2Ev | ~_Function_base | inline=NO
804f984 | 804f99d | _ZNSt14_Function_baseC2Ev | _Function_base | inline=NO
804f972 | 804f983 | _ZNKSt9_Any_data9_M_accessEv | _M_access | inline=NO
804f960 | 804f971 | _ZNSt9_Any_data9_M_accessEv | _M_access | inline=NO
804f94e | 804f95f | _ZnwjPv | operator new | inline=NO
809ee0a | 809ee23 | _ZNKSt4lessIPKvEclES1_S1_ | operator() | inline=NO
8110142 | 8110194 | _ZNK4llvm25SmallVectorTemplateCommonIcvE18isReferenceToRangeEPKvS3_S3_ | isReferenceToRange | inline=NO
809dfa8 | 809dfce | _ZNKSt4lessIvEclIKvS2_EEbPT_PT0_ | operator()<void const, void const> | inline=NO
810fc10 | 810fc53 | _ZNK4llvm25SmallVectorTemplateCommonIcvE20isReferenceToStorageEPKv | isReferenceToStorage | inline=NO
810f0d2 | 810f153 | _ZN4llvm25SmallVectorTemplateCommonIcvE28isSafeToReferenceAfterResizeEPKvj | isSafeToReferenceAfterResize | inline=NO
810efbe | 810eff4 | _ZNK4llvm25SmallVectorTemplateCommonIcvE3endEv | end | inline=NO
810d9a6 | 810d9f5 | _ZN4llvm25SmallVectorTemplateCommonIcvE32assertSafeToReferenceAfterResizeEPKvj | assertSafeToReferenceAfterResize | inline=NO
